 0.0250  0.0489 -0.000041 0.002453
 0.0750  0.0962 -0.000080 0.002359
 0.1250  0.1430 -0.000118 0.002266
 0.1750  0.1901 -0.000154 0.002172
 0.2250  0.2384 -0.000189 0.002078
 0.2750  0.2888 -0.000222 0.001984
 0.3250  0.3419 -0.000253 0.001891
 0.3750  0.3986 -0.000283 0.001797
 0.4250  0.4597 -0.000312 0.001703
 0.4750  0.5257 -0.000339 0.001609
 0.5250  0.5973 -0.000364 0.001516
 0.5750  0.6752 -0.000387 0.001422
 0.6250  0.7599 -0.000410 0.001328
 0.6750  0.8519 -0.000430 0.001234
 0.7250  0.9517 -0.000449 0.001141
 0.7750  1.0598 -0.000467 0.001047
 0.8250  1.1766 -0.000482 0.000953
 0.8750  1.3025 -0.000497 0.000859
 0.9250  1.4378 -0.000510 0.000766
 0.9750  1.5828 -0.000521 0.000672
